,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
25071,2016,2016,NC,North Carolina,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,19.7,19.7,,,16.3,23.5,Gender,Male,,,,,"(35.466220975000454, -79.15925046299964)",,37,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
25103,2016,2016,ND,North Dakota,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,13.2,13.2,,,10.5,16.6,Gender,Male,,,,,"(47.47531977900047, -100.11842104899966)",,38,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
25484,2016,2016,OH,Ohio,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,15.7,15.7,,,13.3,18.6,Gender,Male,,,,,"(40.06021014100048, -82.40426005599966)",,39,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
26341,2016,2016,OK,Oklahoma,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,21.7,21.7,,,18.6,25.2,Gender,Male,,,,,"(35.47203135600046, -97.52107021399968)",,40,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
26361,2016,2016,OR,Oregon,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,11.6,11.6,,,9.0,14.9,Gender,Male,,,,,"(44.56744942400047, -120.15503132599969)",,41,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
26457,2016,2016,MN,Minnesota,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,10.3,10.3,,,9.3,11.4,Overall,Overall,,,,,"(46.35564873600049, -94.79420050299967)",,27,ORH,ORH4_1,CRDPREV,OVERALL,OVR,,,,
27157,2016,2016,GU,Guam,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,11.4,11.4,,,6.6,18.9,Overall,Overall,,,,,"(13.444304, 144.793731)",,66,ORH,ORH4_1,CRDPREV,OVERALL,OVR,,,,
27265,2016,2016,PR,Puerto Rico,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,11.4,11.4,,,9.5,13.7,Overall,Overall,,,,,"(18.220833, -66.590149)",,72,ORH,ORH4_1,CRDPREV,OVERALL,OVR,,,,
27432,2016,2016,PA,Pennsylvania,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,18.0,18.0,,,14.6,22.1,Gender,Male,,,,,"(40.79373015200048, -77.86070029399963)",,42,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
27594,2016,2016,VI,Virgin Islands,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,15.8,15.8,,,9.5,24.9,Overall,Overall,,,,,"(18.335765, -64.896335)",,78,ORH,ORH4_1,CRDPREV,OVERALL,OVR,,,,
27613,2016,2016,RI,Rhode Island,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,11.6,11.6,,,8.8,15.3,Gender,Male,,,,,"(41.70828019300046, -71.52247031399963)",,44,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
27654,2016,2016,MT,Montana,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Age-adjusted Prevalence,13.0,13.0,,,10.2,16.4,Gender,Male,,,,,"(47.06652897200047, -109.42442064499971)",,30,ORH,ORH4_1,AGEADJPREV,GENDER,GENM,,,,
27673,2016,2016,SC,South Carolina,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,18.0,18.0,,,15.5,20.7,Gender,Male,,,,,"(33.998821303000454, -81.04537120699968)",,45,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
27901,2016,2016,SD,South Dakota,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,16.7,16.7,,,11.5,23.7,Gender,Male,,,,,"(44.353130053000484, -100.3735306369997)",,46,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
28091,2016,2016,TN,Tennessee,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,21.3,21.3,,,17.5,25.6,Gender,Male,,,,,"(35.68094058000048, -85.77449091399967)",,47,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
28399,2016,2016,TX,Texas,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,11.8,11.8,,,8.8,15.5,Gender,Male,,,,,"(31.827240407000488, -99.42677020599967)",,48,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
28543,2016,2016,UT,Utah,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,9.6,9.6,,,7.6,11.9,Gender,Male,,,,,"(39.360700171000474, -111.58713063499971)",,49,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
28578,2016,2016,VT,Vermont,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,14.2,14.2,,,11.5,17.5,Gender,Male,,,,,"(43.62538123900049, -72.51764079099962)",,50,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
28595,2016,2016,VA,Virginia,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,14.1,14.1,,,11.6,16.9,Gender,Male,,,,,"(37.54268067400045, -78.45789046299967)",,51,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
29042,2016,2016,WA,Washington,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,10.6,10.6,,,9.0,12.5,Gender,Male,,,,,"(47.52227862900048, -120.47001078999972)",,53,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
29064,2016,2016,WV,West Virginia,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,30.9,30.9,,,27.6,34.4,Gender,Male,,,,,"(38.66551020200046, -80.71264013499967)",,54,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
29168,2016,2016,WI,Wisconsin,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,10.4,10.4,,,7.8,13.7,Gender,Male,,,,,"(44.39319117400049, -89.81637074199966)",,55,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
29336,2016,2016,WY,Wyoming,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,16.1,16.1,,,12.6,20.3,Gender,Male,,,,,"(43.23554134300048, -108.10983035299967)",,56,ORH,ORH4_1,CRDPREV,GENDER,GENM,,,,
29507,2016,2016,UT,Utah,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Age-adjusted Prevalence,9.7,9.7,,,7.8,12.1,Gender,Male,,,,,"(39.360700171000474, -111.58713063499971)",,49,ORH,ORH4_1,AGEADJPREV,GENDER,GENM,,,,
29920,2016,2016,IN,Indiana,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,18.0,18.0,,,16.3,19.9,Gender,Female,,,,,"(39.766910452000445, -86.14996019399968)",,18,ORH,ORH4_1,CRDPREV,GENDER,GENF,,,,
29942,2016,2016,IA,Iowa,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,16.0,16.0,,,13.8,18.4,Gender,Female,,,,,"(42.46940091300047, -93.81649055599968)",,19,ORH,ORH4_1,CRDPREV,GENDER,GENF,,,,
30283,2016,2016,KS,Kansas,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,13.2,13.2,,,11.6,15.0,Gender,Female,,,,,"(38.34774030000045, -98.20078122699965)",,20,ORH,ORH4_1,CRDPREV,GENDER,GENF,,,,
30562,2016,2016,KY,Kentucky,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,20.4,20.4,,,17.9,23.2,Gender,Female,,,,,"(37.645970271000465, -84.77497104799966)",,21,ORH,ORH4_1,CRDPREV,GENDER,GENF,,,,
30689,2016,2016,NE,Nebraska,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Age-adjusted Prevalence,11.0,11.0,,,9.3,12.9,Gender,Male,,,,,"(41.6410409880005, -99.36572062299967)",,31,ORH,ORH4_1,AGEADJPREV,GENDER,GENM,,,,
31118,2016,2016,LA,Louisiana,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,19.0,19.0,,,16.1,22.3,Gender,Female,,,,,"(31.31266064400046, -92.44568007099969)",,22,ORH,ORH4_1,CRDPREV,GENDER,GENF,,,,
31152,2016,2016,ME,Maine,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,14.7,14.7,,,12.9,16.8,Gender,Female,,,,,"(45.254228894000505, -68.98503133599962)",,23,ORH,ORH4_1,CRDPREV,GENDER,GENF,,,,
31429,2016,2016,MD,Maryland,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,12.2,12.2,,,10.7,14.0,Gender,Female,,,,,"(39.29058096400047, -76.60926011099963)",,24,ORH,ORH4_1,CRDPREV,GENDER,GENF,,,,
31575,2016,2016,VA,Virginia,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,15.5,15.5,,,13.2,18.1,Gender,Female,,,,,"(37.54268067400045, -78.45789046299967)",,51,ORH,ORH4_1,CRDPREV,GENDER,GENF,,,,
31660,2016,2016,WA,Washington,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,11.3,11.3,,,9.9,12.9,Gender,Female,,,,,"(47.52227862900048, -120.47001078999972)",,53,ORH,ORH4_1,CRDPREV,GENDER,GENF,,,,
32614,2016,2016,WV,West Virginia,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,30.0,30.0,,,27.2,33.1,Gender,Female,,,,,"(38.66551020200046, -80.71264013499967)",,54,ORH,ORH4_1,CRDPREV,GENDER,GENF,,,,
32638,2016,2016,NV,Nevada,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Age-adjusted Prevalence,13.0,13.0,,,9.2,17.9,Gender,Male,,,,,"(39.493240390000494, -117.07184056399967)",,32,ORH,ORH4_1,AGEADJPREV,GENDER,GENM,,,,
33534,2016,2016,WI,Wisconsin,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,10.8,10.8,,,8.7,13.4,Gender,Female,,,,,"(44.39319117400049, -89.81637074199966)",,55,ORH,ORH4_1,CRDPREV,GENDER,GENF,,,,
33564,2016,2016,US,United States,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,15.0,15.0,*,50 States + DC: US Median,13.9,15.8,Gender,Female,,,,,,,59,ORH,ORH4_1,CRDPREV,GENDER,GENF,,,,
33765,2016,2016,WY,Wyoming,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,19.5,19.5,,,16.0,23.5,Gender,Female,,,,,"(43.23554134300048, -108.10983035299967)",,56,ORH,ORH4_1,CRDPREV,GENDER,GENF,,,,
33771,2016,2016,AL,Alabama,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,19.6,19.6,,,16.8,22.6,Gender,Female,,,,,"(32.84057112200048, -86.63186076199969)",,1,ORH,ORH4_1,CRDPREV,GENDER,GENF,,,,
33832,2016,2016,DE,Delaware,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,,%,Crude Prevalence,63.4,63.4,,,60.9,65.8,Overall,Overall,,,,,"(39.008830667000495, -75.57774116799965)",,10,ORH,ORH4_3,CRDPREV,OVERALL,OVR,,,,
33940,2016,2016,GU,Guam,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,,%,Age-adjusted Prevalence,48.6,48.6,,,44.7,52.4,Overall,Overall,,,,,"(13.444304, 144.793731)",,66,ORH,ORH4_3,AGEADJPREV,OVERALL,OVR,,,,
33944,2016,2016,AK,Alaska,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,15.7,15.7,,,11.2,21.4,Gender,Female,,,,,"(64.84507995700051, -147.72205903599973)",,2,ORH,ORH4_1,CRDPREV,GENDER,GENF,,,,
34149,2016,2016,MI,Michigan,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,,%,Crude Prevalence,64.5,64.5,,,62.6,66.4,Gender,Male,,,,,"(44.6613195430005, -84.71439026999968)",,26,ORH,ORH4_3,CRDPREV,GENDER,GENM,,,,
34378,2016,2016,AZ,Arizona,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,12.3,12.3,,,10.6,14.3,Gender,Female,,,,,"(34.865970280000454, -111.76381127699972)",,4,ORH,ORH4_1,CRDPREV,GENDER,GENF,,,,
34617,2016,2016,MN,Minnesota,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,,%,Crude Prevalence,69.8,69.8,,,68.4,71.2,Gender,Male,,,,,"(46.35564873600049, -94.79420050299967)",,27,ORH,ORH4_3,CRDPREV,GENDER,GENM,,,,
34784,2016,2016,MS,Mississippi,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,,%,Crude Prevalence,52.1,52.1,,,48.7,55.5,Gender,Male,,,,,"(32.745510099000455, -89.53803082499968)",,28,ORH,ORH4_3,CRDPREV,GENDER,GENM,,,,
34865,2016,2016,MO,Missouri,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,,%,Crude Prevalence,58.8,58.8,,,55.7,61.8,Gender,Male,,,,,"(38.635790776000476, -92.56630005299968)",,29,ORH,ORH4_3,CRDPREV,GENDER,GENM,,,,
34905,2016,2016,MT,Montana,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,,%,Crude Prevalence,62.1,62.1,,,59.0,65.0,Gender,Male,,,,,"(47.06652897200047, -109.42442064499971)",,30,ORH,ORH4_3,CRDPREV,GENDER,GENM,,,,
35082,2016,2016,AR,Arkansas,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,19.8,19.8,,,16.7,23.2,Gender,Female,,,,,"(34.74865012400045, -92.27449074299966)",,5,ORH,ORH4_1,CRDPREV,GENDER,GENF,,,,
35289,2016,2016,CA,California,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,10.3,10.3,,,8.2,12.8,Gender,Female,,,,,"(37.63864012300047, -120.99999953799971)",,6,ORH,ORH4_1,CRDPREV,GENDER,GENF,,,,
35355,2016,2016,NE,Nebraska,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,,%,Crude Prevalence,69.7,69.7,,,67.7,71.6,Gender,Male,,,,,"(41.6410409880005, -99.36572062299967)",,31,ORH,ORH4_3,CRDPREV,GENDER,GENM,,,,
35358,2016,2016,CO,Colorado,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,9.5,9.5,,,8.1,11.0,Gender,Female,,,,,"(38.843840757000464, -106.13361092099967)",,8,ORH,ORH4_1,CRDPREV,GENDER,GENF,,,,
35662,2016,2016,NV,Nevada,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,,%,Crude Prevalence,60.0,60.0,,,56.4,63.5,Gender,Male,,,,,"(39.493240390000494, -117.07184056399967)",,32,ORH,ORH4_3,CRDPREV,GENDER,GENM,,,,
35748,2016,2016,CT,Connecticut,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,9.3,9.3,,,7.8,11.1,Gender,Female,,,,,"(41.56266102000046, -72.64984095199964)",,9,ORH,ORH4_1,CRDPREV,GENDER,GENF,,,,
35789,2016,2016,DE,Delaware,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,17.1,17.1,,,13.9,20.9,Gender,Female,,,,,"(39.008830667000495, -75.57774116799965)",,10,ORH,ORH4_1,CRDPREV,GENDER,GENF,,,,
35909,2016,2016,NH,New Hampshire,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,,%,Crude Prevalence,65.7,65.7,,,62.9,68.5,Gender,Male,,,,,"(43.65595011300047, -71.50036091999965)",,33,ORH,ORH4_3,CRDPREV,GENDER,GENM,,,,
36241,2016,2016,NJ,New Jersey,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,,%,Crude Prevalence,60.1,60.1,,,57.1,63.1,Gender,Male,,,,,"(40.13057004800049, -74.27369128799967)",,34,ORH,ORH4_3,CRDPREV,GENDER,GENM,,,,
36263,2016,2016,NM,New Mexico,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,,%,Crude Prevalence,61.6,61.6,,,58.3,64.7,Gender,Male,,,,,"(34.52088095200048, -106.24058098499967)",,35,ORH,ORH4_3,CRDPREV,GENDER,GENM,,,,
36351,2016,2016,NY,New York,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,,%,Crude Prevalence,59.8,59.8,,,58.0,61.6,Gender,Male,,,,,"(42.82700103200045, -75.54397042699964)",,36,ORH,ORH4_3,CRDPREV,GENDER,GENM,,,,
36626,2016,2016,NC,North Carolina,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,,%,Crude Prevalence,59.2,59.2,,,56.7,61.7,Gender,Male,,,,,"(35.466220975000454, -79.15925046299964)",,37,ORH,ORH4_3,CRDPREV,GENDER,GENM,,,,
36956,2016,2016,ND,North Dakota,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,,%,Crude Prevalence,64.0,64.0,,,61.4,66.4,Gender,Male,,,,,"(47.47531977900047, -100.11842104899966)",,38,ORH,ORH4_3,CRDPREV,GENDER,GENM,,,,
36980,2016,2016,DC,District of Columbia,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,14.7,14.7,,,11.4,18.7,Gender,Female,,,,,"(38.907192, -77.036871)",,11,ORH,ORH4_1,CRDPREV,GENDER,GENF,,,,
37437,2016,2016,OH,Ohio,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,,%,Crude Prevalence,61.7,61.7,,,59.4,64.1,Gender,Male,,,,,"(40.06021014100048, -82.40426005599966)",,39,ORH,ORH4_3,CRDPREV,GENDER,GENM,,,,
37963,2016,2016,FL,Florida,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,14.7,14.7,,,12.9,16.7,Gender,Female,,,,,"(28.932040377000476, -81.92896053899966)",,12,ORH,ORH4_1,CRDPREV,GENDER,GENF,,,,
